FID,the_geom,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags
aws_1day.fid-43fc473f_19185bab7bf_-62d2,POINT (4.358 50.797),6447,2003-12-01T00:00:00,990.4,10.74,12.77,8.24,89.58,3.9,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62d1,POINT (4.358 50.797),6447,2003-12-02T00:00:00,1001.37,8.94,10.62,7.16,89.84,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62d0,POINT (4.358 50.797),6447,2003-12-03T00:00:00,1009.65,7.23,10.57,3.72,92.45,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62cf,POINT (4.358 50.797),6447,2003-12-04T00:00:00,1013.09,4.61,5,3.84,97.09,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ce,POINT (4.358 50.797),6447,2003-12-05T00:00:00,1016.55,4.38,4.9,3.21,91.64,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62cd,POINT (4.358 50.797),6447,2003-12-06T00:00:00,1014.7,3.63,6.87,-0.75,78.96,0.3,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62cc,POINT (4.358 50.797),6447,2003-12-07T00:00:00,1017.25,-0.76,1.89,-2.5,77.58,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62cb,POINT (4.358 50.797),6447,2003-12-08T00:00:00,1011.98,0.83,5.4,-3.76,71.26,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ca,POINT (4.358 50.797),6447,2003-12-09T00:00:00,1005.92,1.71,8.09,-2.13,71.34,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c9,POINT (4.358 50.797),6447,2003-12-10T00:00:00,1002.23,0.49,4.62,-2.27,76.88,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c8,POINT (4.358 50.797),6447,2003-12-11T00:00:00,1000.82,2.83,6.37,0.29,93.94,4.4,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c7,POINT (4.358 50.797),6447,2003-12-12T00:00:00,1008.28,6.24,10.86,2.12,94.92,0.2,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c6,POINT (4.358 50.797),6447,2003-12-13T00:00:00,998.51,11.37,12.01,11.01,94.07,16.3,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c5,POINT (4.358 50.797),6447,2003-12-14T00:00:00,999.97,7.26,10.96,5.21,83.51,5.1,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c4,POINT (4.358 50.797),6447,2003-12-15T00:00:00,1010.57,3.61,5.64,2.34,86.67,0.8,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c3,POINT (4.358 50.797),6447,2003-12-16T00:00:00,1017.05,4.37,5.87,3.2,92.81,0.1,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c2,POINT (4.358 50.797),6447,2003-12-17T00:00:00,1013.97,3.84,7.96,0.5,82.39,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c1,POINT (4.358 50.797),6447,2003-12-18T00:00:00,1007.56,4.98,9.02,0.75,72.3,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62c0,POINT (4.358 50.797),6447,2003-12-19T00:00:00,1005.74,5.26,7.9,2.1,87.75,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62bf,POINT (4.358 50.797),6447,2003-12-20T00:00:00,997.83,8.74,11.03,7,90.2,2.6,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
